14.1.2022 11:04:01;34,92;
14.1.2022 11:04:11;34,92;
14.1.2022 11:17:15;34,74;
14.1.2022 11:22:19;34,67;
14.1.2022 11:27:19;34,61;
14.1.2022 11:32:19;34,54;
14.1.2022 11:37:19;34,48;
14.1.2022 11:42:19;34,41;
14.1.2022 11:47:19;34,35;
14.1.2022 11:52:19;34,28;
14.1.2022 11:57:19;34,22;
14.1.2022 12:02:19;34,16;
14.1.2022 12:07:19;34,1;
14.1.2022 12:12:19;34,03;
14.1.2022 12:17:19;33,97;
14.1.2022 12:22:19;33,91;
14.1.2022 12:27:19;33,85;
14.1.2022 12:32:19;33,8;
14.1.2022 12:37:19;33,74;
14.1.2022 12:42:19;33,69;
14.1.2022 12:47:19;33,64;
14.1.2022 12:52:19;33,59;
14.1.2022 12:57:19;33,54;
14.1.2022 13:02:19;33,5;
14.1.2022 13:07:19;33,45;
14.1.2022 13:12:19;33,41;
14.1.2022 13:17:19;33,37;
14.1.2022 13:22:20;33,33;
14.1.2022 13:27:19;33,29;
14.1.2022 13:37:20;33,22;
14.1.2022 13:42:20;33,18;
14.1.2022 13:47:20;33,15;
